customer_id,first_name,last_name,email,city,signup_date
1,Customer_1,Lastname_1,customer1@example.com,Phoenix,2022-10-15
2,Customer_2,Lastname_2,customer2@example.com,Houston,2022-07-10
3,Customer_3,Lastname_3,customer3@example.com,Los Angeles,2022-04-04
4,Customer_4,Lastname_4,customer4@example.com,Los Angeles,2022-01-05
5,Customer_5,Lastname_5,customer5@example.com,New York,2022-02-12
6,Customer_6,Lastname_6,customer6@example.com,Chicago,2022-11-01
7,Customer_7,Lastname_7,customer7@example.com,Phoenix,2022-07-02
8,Customer_8,Lastname_8,customer8@example.com,Los Angeles,2022-06-09
9,Customer_9,Lastname_9,customer9@example.com,Houston,2022-03-25
10,Customer_10,Lastname_10,customer10@example.com,Phoenix,2022-01-09
11,Customer_11,Lastname_11,customer11@example.com,Houston,2022-01-23
12,Customer_12,Lastname_12,customer12@example.com,Houston,2022-01-14
13,Customer_13,Lastname_13,customer13@example.com,New York,2022-11-30
14,Customer_14,Lastname_14,customer14@example.com,Houston,2022-07-11
15,Customer_15,Lastname_15,customer15@example.com,Houston,2022-04-19
16,Customer_16,Lastname_16,customer16@example.com,Chicago,2022-03-29
17,Customer_17,Lastname_17,customer17@example.com,New York,2022-07-09
18,Customer_18,Lastname_18,customer18@example.com,Phoenix,2022-07-16
19,Customer_19,Lastname_19,customer19@example.com,Houston,2022-10-30
20,Customer_20,Lastname_20,customer20@example.com,Chicago,2022-01-26
21,Customer_21,Lastname_21,customer21@example.com,New York,2022-06-15
22,Customer_22,Lastname_22,customer22@example.com,New York,2022-11-07
23,Customer_23,Lastname_23,customer23@example.com,Chicago,2022-12-21
24,Customer_24,Lastname_24,customer24@example.com,Los Angeles,2022-09-12
25,Customer_25,Lastname_25,customer25@example.com,Chicago,2022-04-26
26,Customer_26,Lastname_26,customer26@example.com,Los Angeles,2022-02-10
27,Customer_27,Lastname_27,customer27@example.com,Chicago,2022-07-20
28,Customer_28,Lastname_28,customer28@example.com,Houston,2022-11-29
29,Customer_29,Lastname_29,customer29@example.com,Chicago,2022-02-05
30,Customer_30,Lastname_30,customer30@example.com,New York,2022-12-11
31,Customer_31,Lastname_31,customer31@example.com,Phoenix,2022-11-01
32,Customer_32,Lastname_32,customer32@example.com,Phoenix,2022-11-29
33,Customer_33,Lastname_33,customer33@example.com,Houston,2022-08-03
34,Customer_34,Lastname_34,customer34@example.com,Houston,2022-11-30
35,Customer_35,Lastname_35,customer35@example.com,New York,2022-07-21
36,Customer_36,Lastname_36,customer36@example.com,Los Angeles,2022-06-06
37,Customer_37,Lastname_37,customer37@example.com,Houston,2022-07-11
38,Customer_38,Lastname_38,customer38@example.com,Phoenix,2022-01-13
39,Customer_39,Lastname_39,customer39@example.com,Phoenix,2022-11-03
40,Customer_40,Lastname_40,customer40@example.com,Houston,2022-09-08
41,Customer_41,Lastname_41,customer41@example.com,Los Angeles,2022-08-22
42,Customer_42,Lastname_42,customer42@example.com,Los Angeles,2022-10-12
43,Customer_43,Lastname_43,customer43@example.com,Los Angeles,2022-07-28
44,Customer_44,Lastname_44,customer44@example.com,Chicago,2022-01-26
45,Customer_45,Lastname_45,customer45@example.com,Phoenix,2022-03-08
46,Customer_46,Lastname_46,customer46@example.com,Chicago,2022-07-26
47,Customer_47,Lastname_47,customer47@example.com,Houston,2022-09-30
48,Customer_48,Lastname_48,customer48@example.com,Los Angeles,2022-07-18
49,Customer_49,Lastname_49,customer49@example.com,Phoenix,2022-02-03
50,Customer_50,Lastname_50,customer50@example.com,Houston,2022-04-18
51,Customer_51,Lastname_51,customer51@example.com,Houston,2022-12-05
52,Customer_52,Lastname_52,customer52@example.com,New York,2022-04-29
53,Customer_53,Lastname_53,customer53@example.com,Phoenix,2022-03-04
54,Customer_54,Lastname_54,customer54@example.com,New York,2022-02-05
55,Customer_55,Lastname_55,customer55@example.com,New York,2022-12-16
56,Customer_56,Lastname_56,customer56@example.com,New York,2022-08-15
57,Customer_57,Lastname_57,customer57@example.com,New York,2022-12-04
58,Customer_58,Lastname_58,customer58@example.com,New York,2022-10-19
59,Customer_59,Lastname_59,customer59@example.com,New York,2022-12-11
60,Customer_60,Lastname_60,customer60@example.com,Chicago,2022-06-05
61,Customer_61,Lastname_61,customer61@example.com,New York,2022-03-21
62,Customer_62,Lastname_62,customer62@example.com,Houston,2022-10-03
63,Customer_63,Lastname_63,customer63@example.com,Houston,2022-05-02
64,Customer_64,Lastname_64,customer64@example.com,Houston,2022-05-10
65,Customer_65,Lastname_65,customer65@example.com,Houston,2022-09-17
66,Customer_66,Lastname_66,customer66@example.com,Phoenix,2022-05-21
67,Customer_67,Lastname_67,customer67@example.com,Phoenix,2022-07-30
68,Customer_68,Lastname_68,customer68@example.com,New York,2022-02-23
69,Customer_69,Lastname_69,customer69@example.com,Phoenix,2022-10-28
70,Customer_70,Lastname_70,customer70@example.com,Houston,2022-06-13
71,Customer_71,Lastname_71,customer71@example.com,Los Angeles,2022-10-17
72,Customer_72,Lastname_72,customer72@example.com,Phoenix,2022-04-23
73,Customer_73,Lastname_73,customer73@example.com,Los Angeles,2022-03-10
74,Customer_74,Lastname_74,customer74@example.com,Chicago,2022-11-29
75,Customer_75,Lastname_75,customer75@example.com,New York,2022-02-24
76,Customer_76,Lastname_76,customer76@example.com,New York,2022-06-21
77,Customer_77,Lastname_77,customer77@example.com,Houston,2022-08-07
78,Customer_78,Lastname_78,customer78@example.com,Los Angeles,2022-09-22
79,Customer_79,Lastname_79,customer79@example.com,Chicago,2022-08-14
80,Customer_80,Lastname_80,customer80@example.com,Los Angeles,2022-04-17
81,Customer_81,Lastname_81,customer81@example.com,Los Angeles,2022-10-18
82,Customer_82,Lastname_82,customer82@example.com,Houston,2022-12-02
83,Customer_83,Lastname_83,customer83@example.com,Houston,2022-11-13
84,Customer_84,Lastname_84,customer84@example.com,New York,2022-02-07
85,Customer_85,Lastname_85,customer85@example.com,Los Angeles,2022-12-11
86,Customer_86,Lastname_86,customer86@example.com,Los Angeles,2022-09-06
87,Customer_87,Lastname_87,customer87@example.com,New York,2022-08-07
88,Customer_88,Lastname_88,customer88@example.com,New York,2022-05-06
89,Customer_89,Lastname_89,customer89@example.com,Phoenix,2022-04-16
90,Customer_90,Lastname_90,customer90@example.com,Los Angeles,2022-01-26
91,Customer_91,Lastname_91,customer91@example.com,Phoenix,2022-02-09
92,Customer_92,Lastname_92,customer92@example.com,Chicago,2022-05-21
93,Customer_93,Lastname_93,customer93@example.com,Los Angeles,2022-03-10
94,Customer_94,Lastname_94,customer94@example.com,Chicago,2022-12-09
95,Customer_95,Lastname_95,customer95@example.com,Los Angeles,2022-09-04
96,Customer_96,Lastname_96,customer96@example.com,Houston,2022-12-21
97,Customer_97,Lastname_97,customer97@example.com,Houston,2022-02-01
98,Customer_98,Lastname_98,customer98@example.com,Houston,2022-06-10
99,Customer_99,Lastname_99,customer99@example.com,Los Angeles,2022-05-30
100,Customer_100,Lastname_100,customer100@example.com,Los Angeles,2022-03-20
101,Customer_101,Lastname_101,customer101@example.com,Los Angeles,2022-03-02
102,Customer_102,Lastname_102,customer102@example.com,Phoenix,2022-11-03
103,Customer_103,Lastname_103,customer103@example.com,New York,2022-10-15
104,Customer_104,Lastname_104,customer104@example.com,Los Angeles,2022-07-10
105,Customer_105,Lastname_105,customer105@example.com,Houston,2022-01-23
106,Customer_106,Lastname_106,customer106@example.com,Chicago,2022-12-25
107,Customer_107,Lastname_107,customer107@example.com,Houston,2022-11-14
108,Customer_108,Lastname_108,customer108@example.com,Chicago,2022-03-01
109,Customer_109,Lastname_109,customer109@example.com,Chicago,2022-09-10
110,Customer_110,Lastname_110,customer110@example.com,Los Angeles,2022-01-24
111,Customer_111,Lastname_111,customer111@example.com,Houston,2022-07-16
112,Customer_112,Lastname_112,customer112@example.com,Phoenix,2022-05-06
113,Customer_113,Lastname_113,customer113@example.com,Houston,2022-10-31
114,Customer_114,Lastname_114,customer114@example.com,Houston,2022-10-07
115,Customer_115,Lastname_115,customer115@example.com,New York,2022-10-19
116,Customer_116,Lastname_116,customer116@example.com,Houston,2022-12-06
117,Customer_117,Lastname_117,customer117@example.com,Phoenix,2022-07-24
118,Customer_118,Lastname_118,customer118@example.com,Chicago,2022-01-08
119,Customer_119,Lastname_119,customer119@example.com,Phoenix,2022-05-10
120,Customer_120,Lastname_120,customer120@example.com,Los Angeles,2022-01-17
121,Customer_121,Lastname_121,customer121@example.com,New York,2022-10-09
122,Customer_122,Lastname_122,customer122@example.com,Houston,2022-11-25
123,Customer_123,Lastname_123,customer123@example.com,Los Angeles,2022-09-14
124,Customer_124,Lastname_124,customer124@example.com,New York,2022-08-06
